Z210;D27A;67471-BZ010-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-28;2024-11-26;IPS12105;223210010485
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-28;2024-11-26;IPS12105;223210010485
Z210;D27A;67451-BZ070-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-28;2024-11-26;IPS12105;223210010485
Z210;D27A;67455-BZ020-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-28;2024-11-26;IPS12105;223210010485
Z210;D27A;67457-BZ160-SGP3;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-28;2024-11-26;IPS12105;223210010485
Z210;D27A;67458-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-28;2024-11-26;IPS12105;223210010485
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;9.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-28;2024-11-26;IPS12105;223210010485
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-28;2024-11-26;IPS12105;223210010485
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;4.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-28;2024-11-26;IPS12105;223210010485
Z210;P2-30A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-28;2024-11-26;IPS12105;223210010485
